wgt,female,age,educ,inc_q,emp_in,urbanicity,account_fin,account_mob,account,dig_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,anydigpayment,fin2,fin17a,fin17c,fin19,fin20,fin22a,fin22b,fin22d,fin22e,fin22f,fin24,fin24a,fin24b,fin24c,fh1,fh2,fh2a,fin30,fin32,fin37,fin38,fin42,fin45,internet_use,con1,con24
1.37950699,1,49,1,1,1,1,0,0,0,0,0,1,4,4,4,4,0,4,3,0,2,1,2,2,2,2,2,2,2,2,7,,4,2,2,2,2,2,2,2,2,2,4,0,1,2
1.072620748,1,61,1,1,1,1,1,0,1,0,0,0,4,4,4,2,0,4,3,0,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,1,2,0,2,2
0.548859559,1,76,1,4,2,1,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,1,7,,2,2,2,2,2,2,2,2,2,2,7,0,1,2
0.60949737,1,36,1,2,2,1,1,0,1,1,1,0,4,1,4,4,0,4,3,1,1,2,2,2,2,2,1,1,1,1,5,1,4,2,2,2,2,2,2,1,2,2,3,0,1,2
3.075421846,2,28,2,4,1,1,0,0,0,0,1,1,4,4,4,4,0,4,3,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,4,1,1,1
1.109900581,1,53,1,5,2,2,1,0,1,0,1,0,4,4,4,4,0,4,3,0,1,2,2,2,2,2,1,2,2,2,4,1,1,2,2,2,2,2,2,2,2,2,4,0,1,2
1.20604058,2,53,2,5,1,1,1,0,1,0,1,1,4,4,4,1,0,4,3,1,2,1,2,2,2,2,1,2,2,1,5,2,2,2,2,2,1,2,2,2,2,1,2,0,1,2
0.469993764,2,60,2,1,2,2,1,0,1,0,0,0,4,2,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,7,,1,2,2,2,2,2,2,1,2,2,3,0,1,2
0.973856832,1,33,2,5,1,2,1,0,1,1,1,0,2,4,4,4,1,1,1,1,1,2,2,2,2,1,2,2,2,2,5,2,1,2,2,1,1,1,1,2,2,2,4,1,1,1
1.331627187,1,31,2,5,2,1,1,0,1,1,1,1,4,4,4,4,1,2,3,1,1,1,1,2,2,2,2,2,2,2,5,2,3,2,2,2,2,1,2,2,2,2,3,0,1,2
2.138301227,2,61,1,2,1,1,1,0,1,0,0,0,4,4,4,2,0,2,3,0,2,2,2,2,2,2,2,2,2,2,7,,4,1,2,2,2,1,2,2,2,1,6,0,2,2
1.133083299,2,37,2,3,1,2,1,0,1,0,1,1,4,4,4,4,0,2,3,0,2,2,2,2,2,2,1,2,2,1,5,1,1,2,2,2,2,1,2,2,2,2,1,0,1,2
0.19627339,1,70,1,4,2,2,1,0,1,0,0,0,4,1,4,2,0,3,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,3,0,2,2
0.183241411,2,80,2,4,2,2,1,0,1,0,1,0,3,4,4,4,0,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,2,2,2,1,2,1,1,2,2,2,3,0,1,2
0.565288764,1,66,1,2,2,1,1,0,1,0,1,0,4,1,4,4,0,4,3,1,2,2,2,2,2,2,2,2,2,1,7,,4,2,2,2,2,2,2,1,2,2,1,0,1,2
1.457367036,1,56,1,2,2,2,1,0,1,0,0,0,4,1,4,4,0,4,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,4,0,2,2
1.175506234,1,22,2,5,1,2,1,0,1,1,1,1,1,4,4,4,1,1,3,1,1,1,2,1,2,2,1,2,2,2,1,2,4,1,2,2,2,1,1,2,2,2,3,1,1,1
0.84346077,2,54,1,5,1,1,0,0,0,0,0,0,4,4,4,4,0,2,3,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,4,0,2,2
0.696870292,1,68,1,3,2,1,1,0,1,0,0,0,4,3,3,4,0,4,2,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,5,0,1,2
0.436189081,1,48,2,5,1,1,1,0,1,0,0,1,4,4,4,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,1,2,4,2,1,2,2,1,2,2,2,1,2,1,1,2
0.661154179,2,52,1,4,1,1,0,0,0,0,1,1,4,4,4,2,0,2,3,0,2,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,2,1,2,2,2,1,4,0,2,2
1.220916144,1,40,2,4,2,2,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,5,0,1,2
1.341138506,2,21,2,2,2,1,1,0,1,1,0,1,4,4,4,4,1,4,1,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,5,1,1,1
0.183241411,1,73,2,2,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,0,1,2
2.233751299,1,26,1,2,2,1,1,0,1,0,0,0,4,4,4,4,0,1,3,1,2,2,2,2,2,2,2,2,2,2,5,1,1,2,2,2,2,1,2,2,2,2,5,0,1,2
