"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin8","fin9a","fin9b","fin10","fin17a","fin17c","fin18","fin19","fin20","fin22a","fin22b","fin22d","fin22e","fin22f","fin23","fin24","fin24a","fin24b","fin24c","fin25e1","fin25e2","fin25e4","fin26a","fin26b","fh1","fh2","fh2a","fin30","fin32","fin37","fin38","fin42","fin45","internet_use","con1","con9","con11","con12","con14","con17","con18","con20","con21","con23","con24","con25"
2024,"Sri Lanka","LKA","South Asia",17109247,122361862,1.12928270499258,2,19,2,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,2,0,2,2,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,2,2,1,2,2,2,2,2,2,2,4,1,2,1,2,1,1,1,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,121848096,2.02963163848544,1,54,1,1,2,1,1,0,1,0,1,0,4,1,4,4,0,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,2,2,4,2,2,2,2,1,1,2,1,2,2,4,0,2,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,190957148,0.646737364200929,2,71,2,1,2,1,1,0,1,0,1,0,4,4,4,4,0,2,2,0,2,2,1,4,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,7,1,2,1,2,2,4,2,2,2,1,2,1,2,2,2,2,3,0,1,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,149283304,0.907696446934892,1,42,2,4,2,1,1,0,1,1,1,1,3,4,4,4,0,4,3,0,1,1,1,3,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,4,0,1,1,1,1,1,1,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,174087857,0.183241410734857,1,54,2,1,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,2,5,0,2,2,1,2,2,2,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,114172085,2.49542405107816,2,26,1,3,1,1,1,0,1,0,1,1,2,4,4,4,0,1,3,1,2,2,1,4,3,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,4,2,2,1,2,2,4,1,2,2,2,2,1,1,2,2,2,4,1,1,2,1,1,1,1,2,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,171290083,0.62604861460192,1,89,1,4,2,1,1,0,1,0,0,0,4,1,1,4,0,4,2,1,2,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,5,2,2,2,6,2,2,2,1,2,2,2,1,1,2,4,0,2,2,2,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,178776634,0.291473407135997,1,64,1,2,2,2,1,0,1,0,0,1,4,1,1,4,0,2,3,1,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,5,1,1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,3,0,1,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,206081136,0.183241410734857,1,55,1,5,2,1,1,0,1,0,1,0,4,3,4,4,0,4,3,0,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,5,1,4,1,2,2,4,2,2,2,2,2,2,2,1,2,2,4,0,1,2,1,2,1,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,128991598,1.21899473931529,1,35,2,4,2,1,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,2,2,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,0,1,2,1,1,2,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,203430355,0.785093558346558,1,80,2,2,2,1,1,0,1,0,0,1,4,2,4,4,0,4,3,0,2,2,2,2,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,5,2,2,2,2,2,2,2,1,2,2,1,0,2,2,2,1,2,2,2,2,2,2,2,2
